Page,Image Path,Content,Table
1,uploads/images\toaz.info-7fb10-30-vol-2\page_1.png,"foreword this manual (volume 2) contains diagnostics service procedures of electrical controller of the toyota electric powered forklift 7fb10 to 30 series and 7fbj35. for maintenance, specifications and repair procedures for the chassis, body and material handling system, refer to volume 1 (pub. no. ce315) please use these manuals for providing quick, correct servicing of the corresponding forklift models. this manual deals with the above models as of september 1999. please understand that disagreement can take place between the descriptions in the manual and actual vehicles due to change in design and specifications. any change or modifications thereafter will be informed by toyota industrial equipment parts & service news. toyota motor corporation (translated to ko)",[]
2,uploads/images\toaz.info-7fb10-30-vol-2\page_2.png, (translated to ko),"[{'NAME': 'GENERAL', 'SECTION': '0'}, {'NAME': 'BATTERY', 'SECTION': '1'}, {'NAME': 'CHARGER', 'SECTION': '2'}, {'NAME': 'CONTROLLER (CONNECTOR INSPECTION LIST)', 'SECTION': '3'}, {'NAME': 'MLUTI-DISPLAY FUNCTIONS', 'SECTION': '4'}, {'NAME': 'ELECTRICAL SYSTEM TROUBLESHOOTING', 'SECTION': '5'}, {'NAME': 'MOTOR', 'SECTION': '6'}, {'NAME': 'DRIVE UNIT', 'SECTION': '7'}, {'NAME': 'FRONT AXLE', 'SECTION': '8'}, {'NAME': 'REAR AXLE', 'SECTION': '9'}, {'NAME': 'STEERING', 'SECTION': '10'}, {'NAME': 'BRAKE', 'SECTION': '11'}, {'NAME': 'BODY', 'SECTION': '12'}, {'NAME': 'MATERIAL HANDLING SYSTEM', 'SECTION': '13'}, {'NAME': 'MAST', 'SECTION': '14'}, {'NAME': 'CYLINDER', 'SECTION': '15'}, {'NAME': 'OIL PUMP', 'SECTION': '16'}, {'NAME': 'OIL CONTROL VALVE', 'SECTION': '17'}, {'NAME': 'SAS FUNCTIONS (OPT)', 'SECTION': '18'}, {'NAME': 'APPENDIX', 'SECTION': '19'}]"
3,uploads/images\toaz.info-7fb10-30-vol-2\page_3.png, (translated to ko),"[{'Section': 'GENERAL', 'Page': '0'}, {'Section': 'EXTERIOR VIEWS', 'Page': '0-2'}, {'Section': 'VEHICLE MODEL', 'Page': '0-3'}, {'Section': 'FRAME NUMBER', 'Page': '0-4'}, {'Section': 'OPERATIONAL TIPS', 'Page': '0-5'}, {'Section': 'JACK-UP POINT', 'Page': '0-6'}, {'Section': 'HOISTING THE VEHICLE', 'Page': '0-7'}, {'Section': 'CAUTION FOR TOWING', 'Page': '0-7'}, {'Section': 'CIRCUIT TESTER', 'Page': '0-8'}]"
4,uploads/images\toaz.info-7fb10-30-vol-2\page_4.png,exterior views (translated to ko),[]
5,uploads/images\toaz.info-7fb10-30-vol-2\page_5.png, (translated to ko),"[{'Series': '1 ton series', 'Model': '1.0 ton model', 'Vehicle model': '7FB10', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '1 ton series', 'Model': '1.0 ton model', 'Vehicle model': '7FBH10', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '1 ton series', 'Model': '1.35 ton model', 'Vehicle model': '7FB14', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '1 ton series', 'Model': '1.35 ton model', 'Vehicle model': '7FBH14', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '1 ton series', 'Model': '1.5 ton model', 'Vehicle model': '7FB15', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '1 ton series', 'Model': '1.5 ton model', 'Vehicle model': '7FBH15', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '1 ton series', 'Model': '1.5 ton model', 'Vehicle model': '40-7FB15', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '1 ton series', 'Model': '1.8 ton model', 'Vehicle model': '7FB18', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '1 ton series', 'Model': '1.8 ton model', 'Vehicle model': '7FBH18', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '2 ton series', 'Model': '2.0 ton model', 'Vehicle model': '7FB20', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '2 ton series', 'Model': '2.0 ton model', 'Vehicle model': '7FBH20', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '2 ton series', 'Model': '2.0 ton model', 'Vehicle model': '40-7FB20', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '2 ton series', 'Model': '2.5 ton model', 'Vehicle model': '7FB25', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '2 ton series', 'Model': '2.5 ton model', 'Vehicle model': '7FBH25', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '2 ton series', 'Model': '2.5 ton model', 'Vehicle model': '40-7FB25', 'Controller type': 'AC Micon controller', 'Voltage (V)': '48'}, {'Series': '3 ton series', 'Model': '3.0 ton model', 'Vehicle model': '7FB30', 'Controller type': 'AC Micon controller', 'Voltage (V)': '80'}, {'Series': '3 ton series', 'Model': '3.5 ton model', 'Vehicle model': '7FBJ35', 'Controller type': 'AC Micon controller', 'Voltage (V)': '80'}]"
6,uploads/images\toaz.info-7fb10-30-vol-2\page_6.png, (translated to ko),"[{'Drive motor model': 'AP11', 'Vehicle model': ['7FB10', '7FBH10', '7FB14', '7FBH14', '7FB15', '7FBH15', '7FB18', '7FBH18', '40-7FB15'], 'Punching format': '7FB18-10001', 'Punching position': 'Frame number punching position', 'Series': '1 ton series'}, {'Drive motor model': 'AP15', 'Vehicle model': ['7FB20', '7FBH20', '7FB25', '7FBH25', '40-7FB20'], 'Punching format': '7FB25-10001', 'Series': '2 ton series'}, {'Drive motor model': 'AP15', 'Vehicle model': ['40-7FB25'], 'Punching format': '407FB25-10001', 'Series': '2 ton series'}, {'Drive motor model': 'AP16', 'Vehicle model': ['7FB30', '7FBJ35'], 'Punching format': '7FB35-10001', 'Series': '3 ton series'}]"
7,uploads/images\toaz.info-7fb10-30-vol-2\page_7.png,operational tips (translated to ko),[]
8,uploads/images\toaz.info-7fb10-30-vol-2\page_8.png,"jack-up point strictly observe the following instructions when jacking up the vehicle. • when a load is on the fork, unload it and park the vehicle on a flat floor. be sure to avoid an inclined or rugged place. • use a jack with ample capacity and jack up the vehicle at the specified jack-up point. jacking up at any other point will be dangerous. • never operate while the vehicle is held with a jack. always support the frame with a wooden block after jacking up. • in any case, never let a part of the body (including hands and feet) be under the jacked up vehicle. (translated to ko)","[{'Parameter': 'Jack-up point', 'Value': '', 'Description': ''}, {'Parameter': 'Wooden block or stand setting point', 'Value': '', 'Description': ''}]"
9,uploads/images\toaz.info-7fb10-30-vol-2\page_9.png,hoisting the vehicle always hoist each part of the vehicle at the specified position. never hoist at any other position because it is very dangerous. (translated to ko),[]
10,uploads/images\toaz.info-7fb10-30-vol-2\page_10.png,"circuit tester circuit testers are available in both the analog and digital types. they should be used selectively according to the purpose of measurement. analog type: this type is convenient for observing movement during operation, but the measured value should only be used for reference or rough judgement. digital type: fairly accurate reading is possible, but it is difficult to observe the variation or movement. (translated to ko)",[]
